Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco,BR_Density,Room_Density,Dist_to_City,RecID,SetID
67500,1.2667,7,938,297,1187,282,32.54,-117.04,8308.644262,201962.8515,22592.74436,692614.3975,760566.7685,3.996632997,3.326241135,22592.74436,1,O
144400,3.9583,8,6533,1217,4797,1177,32.55,-117.09,3960.427578,198486.6988,19594.39063,688842.1133,756780.0368,3.941659819,5.550552251,19594.39063,2,O
108800,1.4384,5,3223,940,3284,854,32.55,-117.06,6662.895877,200006.3093,20717.93964,690580.067,758528.7913,3.493617021,3.774004684,20717.93964,3,O
93200,1.6348,15,2206,648,2511,648,32.55,-117.04,8479.817278,201034.4797,21637.86246,691742.2667,759697.8127,3.875,3.404320988,21637.86246,4,O
257700,2.9286,20,2524,682,1819,560,32.56,-117.12,2456.451935,196049.6931,17739.26959,686233.8328,754163.9072,2.667155425,4.507142857,17739.26959,5,O
146800,3.75,16,2687,501,1502,480,32.56,-117.1,3636.592274,197045.8094,18237.2858,687388.7803,755326.4615,2.998003992,5.597916667,18237.2858,6,O
151500,4.8984,8,864,156,626,172,32.56,-117.09,4410.856355,197548.5403,18552.28826,687967.3335,755908.7026,4.012820513,5.023255814,18552.28826,7,O
142600,3.0992,9,3648,895,3293,840,32.56,-117.07,6098.2299,198563.2294,19303.51562,689126.5898,757075.1053,3.679329609,4.342857143,19303.51562,8,O
140400,1.7958,17,2803,683,2768,676,32.56,-117.06,6977.844329,199075.1405,19735.12667,689707.2893,757659.264,4.052708638,4.146449704,19735.12667,9,O
114900,1.9875,18,1215,320,1195,349,32.56,-117.05,7870.783479,199590.0648,20200.94804,690288.7006,758244.0588,3.734375,3.481375358,20200.94804,11,O
134500,2.875,17,985,233,811,223,32.56,-117.05,7870.783479,199590.0648,20200.94804,690288.7006,758244.0588,3.480686695,4.417040359,20200.94804,12,O
139300,2.0159,22,2172,563,2049,524,32.56,-117.05,7870.783479,199590.0648,20200.94804,690288.7006,758244.0588,3.639431616,4.145038168,20200.94804,13,O
153300,2.5625,23,1262,294,5176,275,32.56,-116.97,12001.4408,203815.1645,24900.42819,694965.4001,762945.1443,17.60544218,4.589090909,24900.42819,14,O
174100,4.8274,21,1738,295,983,298,32.57,-117.12,3504.166232,195106.3239,16655.48245,685357.7276,753291.3898,3.33220339,5.832214765,16655.48245,15,O
133300,2.6715,35,1450,256,930,286,32.57,-117.12,3504.166232,195106.3239,16655.48245,685357.7276,753291.3898,3.6328125,5.06993007,16655.48245,16,O
140500,3.3371,32,2723,586,1702,562,32.57,-117.11,3872.427264,195605.1548,16896.32692,685935.5107,753872.9495,2.90443686,4.84519573,16896.32692,17,O
144900,4.3601,26,2343,371,1221,372,32.57,-117.1,4412.372031,196107.1193,17184.87718,686514.0144,754455.1526,3.291105121,6.298387097,17184.87718,18,O
133700,2.3253,14,5058,1299,3662,1193,32.57,-117.1,4412.372031,196107.1193,17184.87718,686514.0144,754455.1526,2.819091609,4.239731769,17184.87718,19,O
160700,4.5547,10,2198,368,1645,350,32.57,-117.09,5069.436163,196612.1935,17518.77611,687093.2368,755037.9976,4.470108696,6.28,17518.77611,21,O
138900,5.1478,17,444,83,357,87,32.57,-117.09,5069.436163,196612.1935,17518.77611,687093.2368,755037.9976,4.301204819,5.103448276,17518.77611,22,O
103200,2.25,18,2203,544,1943,497,32.57,-117.08,5803.978039,197120.3534,17895.4855,687673.1761,755621.4828,3.571691176,4.432595573,17895.4855,23,O
88300,2.569,9,6298,1512,4451,1456,32.57,-117.08,5803.978039,197120.3534,17895.4855,687673.1761,755621.4828,2.943783069,4.325549451,17895.4855,24,O
131400,2.5859,17,2961,634,1911,615,32.57,-117.07,6590.141203,197631.5752,18312.36353,688253.8304,756205.6069,3.014195584,4.814634146,18312.36353,25,O
93600,2.7361,14,1527,357,1224,363,32.57,-117.07,6590.141203,197631.5752,18312.36353,688253.8304,756205.6069,3.428571429,4.20661157,18312.36353,26,O
156500,2.6985,16,1269,282,1609,298,32.57,-117.06,7411.51691,198145.8352,18766.73351,688835.198,756790.3684,5.705673759,4.258389262,18766.73351,27,O
123600,3.0284,25,1268,282,991,299,32.57,-117.06,7411.51691,198145.8352,18766.73351,688835.198,756790.3684,3.514184397,4.240802676,18766.73351,28,O
141100,4.6364,17,2252,378,1776,365,32.57,-117.06,7411.51691,198145.8352,18766.73351,688835.198,756790.3684,4.698412698,6.169863014,18766.73351,29,O
127600,4.7337,22,2857,516,2412,496,32.57,-117.05,8257.60416,198663.1098,19255.94161,689417.277,757375.7657,4.674418605,5.760080645,19255.94161,31,O
138000,3.1696,13,2880,576,2450,567,32.57,-117.05,8257.60416,198663.1098,19255.94161,689417.277,757375.7657,4.253472222,5.079365079,19255.94161,32,O
147800,3.3906,36,1940,399,1076,382,32.58,-117.16,5262.935921,192191.8399,15093.49768,682175.7264,750097.3004,2.696741855,5.078534031,15093.49768,33,O
156000,3.1645,27,2511,615,1427,576,32.58,-117.13,4476.324981,193666.7121,15371.22893,683904.5725,751837.9803,2.320325203,4.359375,15371.22893,34,O
159400,2.3194,32,1870,437,1142,426,32.58,-117.13,4476.324981,193666.7121,15371.22893,683904.5725,751837.9803,2.613272311,4.389671362,15371.22893,35,O
195300,2.3603,27,1417,373,814,348,32.58,-117.13,4476.324981,193666.7121,15371.22893,683904.5725,751837.9803,2.18230563,4.07183908,15371.22893,36,O
136700,3.0613,34,2003,466,1226,443,32.58,-117.12,4582.255796,194164.7388,15575.66588,684482.3046,752419.5009,2.630901288,4.521444695,15575.66588,37,O
131600,3.0217,26,1360,309,869,328,32.58,-117.12,4582.255796,194164.7388,15575.66588,684482.3046,752419.5009,2.812297735,4.146341463,15575.66588,38,O
135600,2.5988,28,1869,407,1074,344,32.58,-117.11,4869.628046,194665.9259,15832.91614,685060.7588,753001.666,2.638820639,5.433139535,15832.91614,39,O
132500,2.4213,12,1086,294,870,290,32.58,-117.11,4869.628046,194665.9259,15832.91614,685060.7588,753001.666,2.959183673,3.744827586,15832.91614,41,O
120800,2.3,23,1662,377,1318,386,32.58,-117.1,5309.059492,195170.2491,16140.45463,685639.9332,753584.4741,3.49602122,4.305699482,16140.45463,42,O
132800,2.25,17,2046,559,1585,530,32.58,-117.1,5309.059492,195170.2491,16140.45463,685639.9332,753584.4741,2.835420394,3.860377358,16140.45463,43,O
